17/10/23 00:18:54 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.1-hadoop2
17/10/23 00:18:54 INFO client.RMProxy: Connecting to ResourceManager at hadoop-cluster-1-m/10.138.0.3:8032
17/10/23 00:18:55 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Repairing batch of 1 missing directories.
17/10/23 00:18:57 WARN gcsio.GoogleCloudStorage: Successfully repaired 1/1 implicit directories.
17/10/23 00:18:59 INFO input.FileInputFormat: Total input files to process : 3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: number of splits:3035
17/10/23 00:18:59 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1508717458547_0001
17/10/23 00:19:00 INFO impl.YarnClientImpl: Submitted application application_1508717458547_0001
17/10/23 00:19:00 INFO mapreduce.Job: The url to track the job: http://hadoop-cluster-1-m:8088/proxy/application_1508717458547_0001/
17/10/23 00:19:00 INFO mapreduce.Job: Running job: job_1508717458547_0001
17/10/23 00:19:11 INFO mapreduce.Job: Job job_1508717458547_0001 running in uber mode : false
17/10/23 02:11:04 INFO mapreduce.Job:  map 100% reduce 77%
17/10/23 02:11:10 INFO mapreduce.Job:  map 100% reduce 78%
17/10/23 02:11:14 INFO mapreduce.Job:  map 100% reduce 79%
17/10/23 02:11:16 INFO mapreduce.Job:  map 100% reduce 80%
17/10/23 02:11:22 INFO mapreduce.Job:  map 100% reduce 82%
17/10/23 02:11:28 INFO mapreduce.Job:  map 100% reduce 83%
17/10/23 02:11:32 INFO mapreduce.Job:  map 100% reduce 84%
17/10/23 02:11:38 INFO mapreduce.Job:  map 100% reduce 85%
17/10/23 02:11:43 INFO mapreduce.Job:  map 100% reduce 86%
17/10/23 02:11:46 INFO mapreduce.Job:  map 100% reduce 87%
17/10/23 02:11:52 INFO mapreduce.Job:  map 100% reduce 88%
17/10/23 02:11:55 INFO mapreduce.Job:  map 100% reduce 89%
17/10/23 02:11:58 INFO mapreduce.Job:  map 100% reduce 90%
17/10/23 02:12:04 INFO mapreduce.Job:  map 100% reduce 91%
17/10/23 02:12:10 INFO mapreduce.Job:  map 100% reduce 92%
17/10/23 02:12:20 INFO mapreduce.Job:  map 100% reduce 93%
17/10/23 02:12:28 INFO mapreduce.Job:  map 100% reduce 94%
17/10/23 02:12:37 INFO mapreduce.Job:  map 100% reduce 95%
17/10/23 02:12:46 INFO mapreduce.Job:  map 100% reduce 96%
17/10/23 02:12:55 INFO mapreduce.Job:  map 100% reduce 97%
17/10/23 02:13:08 INFO mapreduce.Job:  map 100% reduce 98%
17/10/23 02:13:15 INFO mapreduce.Job:  map 100% reduce 99%
17/10/23 02:13:27 INFO mapreduce.Job:  map 100% reduce 100%
Job output is complete
